Transformed	matching	Soot.rep(1)	OSA.rep(2)	SPOON.rep(4)	JCG.rep(8)	WALA.rep(16)	JDT(64)	IntersectionID
80	6	"<java.lang.invoke.MethodHandles$Lookup: java.lang.invoke.MethodHandle findStatic(java.lang.Class,java.lang.String,java.lang.invoke.MethodType)>""<java.lang.invoke.MethodHandles$Lookup: java.lang.invoke.MethodHandle findStatic(java.lang.Class,java.lang.String,java.lang.invoke.MethodType)>"	302java.lang.invoke.MethodHandles$Lookup.findStatic(Ljava/lang/Class;Ljava/lang/String;Ljava/lang/invoke/MethodType;)Ljava/lang/invoke/MethodHandle;:-1:-1:-1:-1	34java.lang.invoke.MethodHandles$Lookup.findStatic(java.lang.Class,java.lang.String,java.lang.invoke.MethodType):-1:-1:-1:-1	java.lang.invoke.MethodHandles$Lookup:findStatic(java.lang.Class,java.lang.String,java.lang.invoke.MethodType)java.lang.invoke.MethodHandles$Lookup.findStatic(java.lang.Class,java.lang.String,java.lang.invoke.MethodType)	27java.lang.invoke.MethodHandles$Lookup.findStatic(Ljava/lang/Class;Ljava/lang/String;Ljava/lang/invoke/MethodType;)Ljava/lang/invoke/MethodHandle;:780	46java.lang.invoke.MethodHandles$Lookup.findStatic(java.lang.Class<>;java.lang.String;java.lang.invoke.MethodType):java.lang.invoke.MethodHandle::-1:-1:-1:-1	95
81	5	"<java.lang.invoke.MethodHandle: java.lang.Object invokeWithArguments(java.lang.Object[])>""<java.lang.invoke.MethodHandle: java.lang.Object invokeWithArguments(java.lang.Object[])>"	307java.lang.invoke.MethodHandle.invokeWithArguments([Ljava/lang/Object;)Ljava/lang/Object;:-1:-1:-1:-1	35java.lang.invoke.MethodHandle.invokeWithArguments(java.lang.Object[]):-1:-1:-1:-1	java.lang.invoke.MethodHandle:invokeWithArguments(java.lang.Object[])java.lang.invoke.MethodHandle.invokeWithArguments(java.lang.Object[])	x	47java.lang.invoke.MethodHandle.invokeWithArguments(java.lang.Object[]):java.lang.Object::-1:-1:-1:-1	79
82	6	"<java.lang.Throwable: void printStackTrace()>""<java.lang.Throwable: void printStackTrace()>"	312java.lang.Throwable.printStackTrace()V:-1:-1:-1:-1	36java.lang.Throwable.printStackTrace():-1:-1:-1:-1	java.lang.Throwable:printStackTrace()java.lang.Throwable.printStackTrace()	28java.lang.Throwable.printStackTrace()V:634	48java.lang.Throwable.printStackTrace():void::-1:-1:-1:-1	95
74	6	"(51)<dynamic.DynamicTest: void test()>""(51)<dynamic.DynamicTest: void test()>"	242dynamic.DynamicTest.test()V:50:2:53:3	37dynamic.DynamicTest.test():50:14:53:2	(51)dynamic.DynamicTest:test()dynamic.DynamicTest.test()	29dynamic.DynamicTest.test()V:51	13dynamic.DynamicTest.test():void:DynamicTest.java:50:1:53:2	95
72	6	"(55)<dynamic.DynamicTest: void main(java.lang.String[])>""(55)<dynamic.DynamicTest: void main(java.lang.String[])>"	316dynamic.DynamicTest.main([Ljava/lang/String;)V:54:2:57:3	38dynamic.DynamicTest.main(java.lang.String[]):54:21:57:2	(55)dynamic.DynamicTest:main(java.lang.String[])dynamic.DynamicTest.main(java.lang.String[])	30dynamic.DynamicTest.main([Ljava/lang/String;)V:55	49dynamic.DynamicTest.main(java.lang.String[]):void:DynamicTest.java:54:1:57:2	95
83	6	"(3)<java8.Java8Test: void <init>()>""(3)<java8.Java8Test: void <init>()>"	226java8.Java8Test.<init>()V:-1:-1:-1:-1	73java8.Java8Test.Java8Test():-1:-1:-1:-1	(3)java8.Java8Test:<init>()java8.Java8Test.<init>()	96java8.Java8Test.<init>()V:3	8java8.Java8Test.<init>():void:Java8Test.java:-1:-1:-1:-1	95
12	6	"(9)<java8.Java8Test: void lambda()>""(9)<java8.Java8Test: void lambda()>"	474java8.Java8Test.lambda()V:8:2:12:3	74java8.Java8Test.lambda():8:15:12:2	(9)java8.Java8Test:lambda()java8.Java8Test.lambda()	98java8.Java8Test.lambda()V:9	84java8.Java8Test.lambda():void:Java8Test.java:4:1:12:2	95
154	1	x	x	x	java8.Lambda:compare()java8.Lambda.compare()	x	x	8
150	4	x	479java8.Lambda.compare(II)Z:4:2:4:34	75java8.Lambda.compare(int,int):-1:-1:-1:-1	java8.Lambda:compare(int,int)java8.Lambda.compare(int,int)	x	85java8.Lambda.compare(int;int):boolean:Java8Test.java:10:13:10:92	78
13	6	"(15)<java8.Java8Test: void methodReference()>""(15)<java8.Java8Test: void methodReference()>"	481java8.Java8Test.methodReference()V:14:2:18:3	76java8.Java8Test.methodReference():14:7:18:2	(15)java8.Java8Test:methodReference()java8.Java8Test.methodReference()	99java8.Java8Test.methodReference()V:15	86java8.Java8Test.methodReference():void:Java8Test.java:14:1:18:2	95
