     	Soot 	OSA	SPOON	JCG	WALA	JDT
Soot 	17243	28.8812	28.9160	26.4977	83.9007	28.8058	
OSA	99.8196	4989	100.0000	91.4411	95.0891	99.7394	
SPOON	99.7998	99.8598	4996	91.4331	95.0760	99.5996	
JCG	99.8688	99.7158	99.8469	4575	95.2131	99.4316	
WALA	100.0000	32.7918	32.8333	30.1099	14467	32.7020	
JDT	95.0076	95.1798	95.1798	87.0122	90.4934	5228	
