     	Soot 	OSA	SPOON	JCG	WALA	JDT
Soot 	30046	25.0116	25.6539	23.6670	64.5876	24.8086	
OSA	75.2176	9991	99.9899	86.8181	62.9666	99.1692	
SPOON	75.6724	98.0757	10186	86.9134	63.6461	97.4278	
JCG	65.5935	80.0110	81.6622	10841	54.4322	79.3008	
WALA	99.9124	32.3894	33.3779	30.3815	19423	32.0856	
JDT	72.9854	97.0136	97.1702	84.1770	61.0202	10213	
