     	Soot 	OSA	SPOON	JCG	WALA	JDT
Soot 	23754	26.6102	27.2585	22.9098	75.0063	26.5260	
OSA	73.7745	8568	99.9883	84.9906	62.8734	99.7315	
SPOON	74.2290	98.2116	8723	85.2459	63.5217	97.9708	
JCG	61.0226	81.6550	83.3819	8918	51.5474	81.4196	
WALA	99.9158	30.2097	31.0733	25.7794	17832	30.0975	
JDT	71.4723	96.9260	96.9373	82.3616	60.8779	8816	
