Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(9)org.joda.time.format.ISOPeriodFormat.standard()->(5112)org.joda.time.format.PeriodFormatterBuilder.appendMinutes()	6	X	X	X	X	X	X	95
(9)org.joda.time.format.ISOPeriodFormat.standard()->(5173)org.joda.time.format.PeriodFormatterBuilder.appendSuffix(java.lang.String)	6	X	X	X	X	X	X	95
(9)org.joda.time.format.ISOPeriodFormat.standard()->(5174)org.joda.time.format.PeriodFormatterBuilder.appendSeparatorIfFieldsAfter(java.lang.String)	6	X	X	X	X	X	X	95
(9)org.joda.time.format.ISOPeriodFormat.standard()->(5175)org.joda.time.format.PeriodFormatterBuilder.appendSecondsWithOptionalMillis()	6	X	X	X	X	X	X	95
(11)org.joda.time.Interval.<init>(long,long,org.joda.time.DateTimeZone)->(13)org.joda.time.chrono.ISOChronology.getInstance(org.joda.time.DateTimeZone)	5	X	X	X	X		X	79
(11)org.joda.time.Interval.<init>(long,long,org.joda.time.DateTimeZone)->(855)org.joda.time.base.BaseInterval.<init>(long,long,org.joda.time.Chronology)	6	X	X	X	X	X	X	95
(12)org.joda.time.chrono.ISOChronology.<clinit>()->(516)org.joda.time.chrono.GregorianChronology.getInstanceUTC()	6	X	X	X	X	X	X	95
(12)org.joda.time.chrono.ISOChronology.<clinit>()->(3197)java.util.concurrent.ConcurrentHashMap.put(java.lang.Object,java.lang.Object)	6	X	X	X	X	X	X	95
(12)org.joda.time.chrono.ISOChronology.<clinit>()->(3463)java.util.concurrent.ConcurrentHashMap.<init>()	4	X		X	X	X		29
(12)org.joda.time.chrono.ISOChronology.<clinit>()->(3487)org.joda.time.chrono.ISOChronology.<init>(org.joda.time.Chronology)	6	X	X	X	X	X	X	95
(13)org.joda.time.chrono.ISOChronology.getInstance(org.joda.time.DateTimeZone)->(88)org.joda.time.DateTimeZone.getDefault()	6	X	X	X	X	X	X	95
(13)org.joda.time.chrono.ISOChronology.getInstance(org.joda.time.DateTimeZone)->(542)org.joda.time.chrono.ZonedChronology.getInstance(org.joda.time.Chronology,org.joda.time.DateTimeZone)	6	X	X	X	X	X	X	95
(13)org.joda.time.chrono.ISOChronology.getInstance(org.joda.time.DateTimeZone)->(3103)java.util.concurrent.ConcurrentHashMap.get(java.lang.Object)	6	X	X	X	X	X	X	95
(13)org.joda.time.chrono.ISOChronology.getInstance(org.joda.time.DateTimeZone)->(3451)java.util.concurrent.ConcurrentHashMap.putIfAbsent(java.lang.Object,java.lang.Object)	6	X	X	X	X	X	X	95
(13)org.joda.time.chrono.ISOChronology.getInstance(org.joda.time.DateTimeZone)->(3487)org.joda.time.chrono.ISOChronology.<init>(org.joda.time.Chronology)	6	X	X	X	X	X	X	95
