     	Soot 	OSA	SPOON	JCG	WALA	JDT
Soot 	23798	26.5610	27.2081	22.8674	74.8676	26.4770	
OSA	73.7745	8568	99.9883	84.9906	62.8734	99.7315	
SPOON	74.2205	98.2003	8724	85.2361	63.5144	97.9596	
JCG	61.0021	81.6276	83.3538	8921	51.5300	81.3922	
WALA	99.9158	30.2097	31.0733	25.7794	17832	30.0975	
JDT	71.4723	96.9260	96.9373	82.3616	60.8779	8816	
