     	Soot 	OSA	SPOON	JCG	WALA	JDT
Soot 	5408	20.6915	45.5621	55.0850	25.9985	50.4437	
OSA	45.2303	2474	59.7817	58.5691	35.4890	59.5796	
SPOON	50.5954	30.3696	4870	82.1765	24.0657	79.6509	
JCG	58.2746	28.3450	78.2863	5112	25.9976	89.2214	
WALA	99.9289	62.4022	83.2977	94.4562	1407	83.5820	
JDT	57.0234	30.8110	81.0827	95.3386	24.5819	4784	
