     	Soot 	OSA	SPOON	JCG	WALA	JDT
Soot 	62847	3.5737	6.3885	8.4061	6.0973	6.5619	
OSA	47.9504	4684	64.4961	63.8556	38.3219	61.3791	
SPOON	56.2403	42.3168	7139	85.2780	31.1808	80.2493	
JCG	59.7624	33.8348	68.8687	8840	32.3416	74.0723	
WALA	99.9217	46.8057	58.0443	74.5501	3835	53.1681	
JDT	59.9680	41.8060	83.3066	95.2159	29.6495	6877	
