     	Soot 	OSA	SPOON	JCG	WALA	JDT
Soot 	64082	27.0543	27.5194	27.3165	8.9167	29.3062	
OSA	45.5541	38058	45.8931	47.8270	11.2512	54.9766	
SPOON	83.6257	82.8243	21088	79.8131	20.9645	89.6386	
JCG	62.8748	65.3783	60.4540	27841	14.7049	73.5462	
WALA	99.2013	74.3402	76.7534	71.0763	5760	70.8333	
JDT	72.6021	80.8868	73.0776	79.1587	15.7729	25867	
