     	Soot 	OSA	SPOON	JCG	WALA	JDT
Soot 	9333	44.36	44.62	39.8	52.81	42.42
OSA	98.85	4188	99.98	87.32	96.35	95.56
SPOON	97.56	98.1	4268	86.25	95.1	94.07
JCG	99.73	98.17	98.82	3725	96.89	93.32
WALA	100	81.86	82.35	73.22	4929	78.19
JDT	97.8	98.86	99.18	85.87	95.21	4048
