Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(11)org.argouml.application.Main.openProject(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen,org.argouml.ui.ProjectBrowser,java.io.File)->(58)org.argouml.kernel.ProjectManager.getManager()	6	X	X	X	X	X	X	95
(11)org.argouml.application.Main.openProject(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen,org.argouml.ui.ProjectBrowser,java.io.File)->(117)org.argouml.cognitive.Designer.enableCritiquing()	6	X	X	X	X	X	X	95
(11)org.argouml.application.Main.openProject(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen,org.argouml.ui.ProjectBrowser,java.io.File)->(118)org.argouml.cognitive.Designer.clearCritiquing()	6	X	X	X	X	X	X	95
(11)org.argouml.application.Main.openProject(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen,org.argouml.ui.ProjectBrowser,java.io.File)->(119)org.argouml.cognitive.Designer.disableCritiquing()	6	X	X	X	X	X	X	95
(11)org.argouml.application.Main.openProject(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen,org.argouml.ui.ProjectBrowser,java.io.File)->(398)org.argouml.kernel.ProjectManager.setCurrentProject(org.argouml.kernel.Project)	6	X	X	X	X	X	X	95
(11)org.argouml.application.Main.openProject(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen,org.argouml.ui.ProjectBrowser,java.io.File)->(401)org.argouml.kernel.ProjectManager.makeEmptyProject(boolean)	6	X	X	X	X	X	X	95
(11)org.argouml.application.Main.openProject(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen,org.argouml.ui.ProjectBrowser,java.io.File)->(5462)org.argouml.util.logging.SimpleTimer.mark(java.lang.String)	6	X	X	X	X	X	X	95
(11)org.argouml.application.Main.openProject(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen,org.argouml.ui.ProjectBrowser,java.io.File)->(5465)java.io.PrintStream.println(java.lang.String)	6	X	X	X	X	X	X	95
(11)org.argouml.application.Main.openProject(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen,org.argouml.ui.ProjectBrowser,java.io.File)->(5570)java.lang.StringBuilder.<init>()	3	X			X	X		25
(11)org.argouml.application.Main.openProject(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen,org.argouml.ui.ProjectBrowser,java.io.File)->(5571)java.lang.StringBuilder.append(java.lang.String)	3	X			X	X		25
(11)org.argouml.application.Main.openProject(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen,org.argouml.ui.ProjectBrowser,java.io.File)->(5572)java.lang.StringBuilder.toString()	3	X			X	X		25
(11)org.argouml.application.Main.openProject(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen,org.argouml.ui.ProjectBrowser,java.io.File)->(5573)java.io.File.exists()	6	X	X	X	X	X	X	95
(13)org.argouml.application.Main.getMostRecentProject()->(83)org.argouml.configuration.Configuration.getString(org.argouml.configuration.ConfigurationKey,java.lang.String)	6	X	X	X	X	X	X	95
(13)org.argouml.application.Main.getMostRecentProject()->(5467)java.io.File.<init>(java.lang.String)	6	X	X	X	X	X	X	95
(13)org.argouml.application.Main.getMostRecentProject()->(5564)java.util.logging.Logger.log(java.util.logging.Level,java.lang.String,java.lang.Object)	6	X	X	X	X	X	X	95
(13)org.argouml.application.Main.getMostRecentProject()->(5573)java.io.File.exists()	6	X	X	X	X	X	X	95
(13)org.argouml.application.Main.getMostRecentProject()->(5985)java.lang.String.equals(java.lang.Object)	6	X	X	X	X	X	X	95
(14)org.argouml.application.Main.performCommandsInternal(java.util.List)->(125)java.lang.Class.forName(java.lang.String)	6	X	X	X	X	X	X	95
(14)org.argouml.application.Main.performCommandsInternal(java.util.List)->(5465)java.io.PrintStream.println(java.lang.String)	6	X	X	X	X	X	X	95
(14)org.argouml.application.Main.performCommandsInternal(java.util.List)->(5570)java.lang.StringBuilder.<init>()	3	X			X	X		25
(14)org.argouml.application.Main.performCommandsInternal(java.util.List)->(5571)java.lang.StringBuilder.append(java.lang.String)	3	X			X	X		25
(14)org.argouml.application.Main.performCommandsInternal(java.util.List)->(5572)java.lang.StringBuilder.toString()	3	X			X	X		25
(14)org.argouml.application.Main.performCommandsInternal(java.util.List)->(5922)java.lang.Class.newInstance()	6	X	X	X	X	X	X	95
(14)org.argouml.application.Main.performCommandsInternal(java.util.List)->(5987)java.lang.String.indexOf(int)	6	X	X	X	X	X	X	95
(14)org.argouml.application.Main.performCommandsInternal(java.util.List)->(5988)java.lang.String.substring(int,int)	6	X	X	X	X	X	X	95
(14)org.argouml.application.Main.performCommandsInternal(java.util.List)->(5989)java.lang.String.substring(int)	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(63)org.argouml.application.SubsystemUtility.initSubsystem(org.argouml.application.api.InitSubsystem)	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(114)org.argouml.application.Main.initModel()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(2686)org.argouml.profile.init.InitProfileSubsystem.init()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5462)org.argouml.util.logging.SimpleTimer.mark(java.lang.String)	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5966)org.argouml.profile.init.InitProfileSubsystem.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5967)org.argouml.ui.cmd.InitUiCmdSubsystem.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5968)org.argouml.notation.ui.InitNotationUI.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5969)org.argouml.notation.InitNotation.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5970)org.argouml.notation.providers.uml.InitNotationUml.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5971)org.argouml.notation.providers.java.InitNotationJava.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5972)org.argouml.uml.diagram.ui.InitDiagramAppearanceUI.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5973)org.argouml.uml.diagram.activity.ui.InitActivityDiagram.<init>()	6	X	X	X	X	X	X	95
(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)->(5974)org.argouml.uml.diagram.collaboration.ui.InitCollaborationDiagram.<init>()	6	X	X	X	X	X	X	95
