     	Soot 	OSA	SPOON	JCG	WALA	JDT
Soot 	34574	42.51	41.15	42.44	16.39	43.96
OSA	43.63	33685	43.34	48.78	12.59	53.82
SPOON	87.48	89.76	16264	82.56	26.94	91.98
JCG	64.26	71.96	58.8	22834	17.76	74.42
WALA	100	74.84	77.29	71.54	5668	71.33
JDT	78.09	93.14	76.86	87.3	20.77	19463
