Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(14)automata.LambdaCheckerFactory.getLambdaChecker(automata.Automaton)->(2270)automata.mealy.MealyLambdaTransitionChecker.<init>()	6	X	X	X	X	X	X	95
(17)automata.StateRenamer.rename(automata.Automaton)->(19)java.util.Arrays.asList(java.lang.Object[])	6	X	X	X	X	X	X	95
(17)automata.StateRenamer.rename(automata.Automaton)->(30)automata.Automaton.getStates()	6	X	X	X	X	X	X	95
(17)automata.StateRenamer.rename(automata.Automaton)->(1917)java.util.HashSet.<init>()	6	X	X	X	X	X	X	95
(17)automata.StateRenamer.rename(automata.Automaton)->(2262)java.util.HashSet.<init>(java.util.Collection)	6	X	X	X	X	X	X	95
(17)automata.StateRenamer.rename(automata.Automaton)->(2264)java.lang.Integer.intValue()	6	X	X	X	X	X	X	95
(17)automata.StateRenamer.rename(automata.Automaton)->(2265)automata.State.setID(int)	5	X	X	X	X		X	79
(22)automata.AutomatonSimulator.<init>(automata.Automaton)->(1915)java.lang.Object.<init>()	5	X	X	X	X	X		31
(22)automata.AutomatonSimulator.<init>(automata.Automaton)->(1917)java.util.HashSet.<init>()	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(30)automata.Automaton.getStates()	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2206)java.util.ArrayList.<init>()	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2209)java.util.ArrayList.add(java.lang.Object)	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2210)java.util.ArrayList.toArray(java.lang.Object[])	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2280)automata.UnreachableStatesDetector.initializeNodes(automata.State[])	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2283)automata.UnreachableStatesDetector.getNodeForState(automata.State)	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2284)automata.UnreachableStatesDetector.visit(automata.Node)	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2285)automata.Automaton.getInitialState()	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2286)automata.Node.isWhite()	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2287)automata.Node.getState()	6	X	X	X	X	X	X	95
(24)automata.Automaton.<init>()->(1915)java.lang.Object.<init>()	5	X	X	X	X	X		31
(24)automata.Automaton.<init>()->(1917)java.util.HashSet.<init>()	6	X	X	X	X	X	X	95
(24)automata.Automaton.<init>()->(2206)java.util.ArrayList.<init>()	4	X		X	X	X		29
(24)automata.Automaton.<init>()->(2301)java.util.HashMap.<init>()	4	X		X	X	X		29
(25)automata.Automaton.clone()->(109)automata.State.<init>(int,java.awt.Point,automata.Automaton)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(111)automata.State.getName()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(114)automata.State.setLabel(java.lang.String)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2219)java.util.ArrayList.get(int)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2221)java.util.ArrayList.size()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2222)automata.Automaton.getTransitionsFromState(automata.State)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2227)automata.Transition.getToState()	5	X	X	X	X		X	79
(25)automata.Automaton.clone()->(2273)automata.State.getID()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2285)automata.Automaton.getInitialState()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2301)java.util.HashMap.<init>()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2302)java.lang.Object.getClass()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2303)automata.Automaton.getEnvironmentFrame()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2304)automata.Automaton.getNotes()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2305)java.lang.Class.getDeclaredConstructor(java.lang.Class[])	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2306)java.lang.reflect.Constructor.newInstance(java.lang.Object[])	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2307)java.io.PrintStream.println(java.lang.String)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2308)automata.Automaton.setEnvironmentFrame(gui.environment.EnvironmentFrame)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2309)automata.Automaton.addState(automata.State)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2310)automata.Automaton.addFinalState(automata.State)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2311)automata.Automaton.setInitialState(automata.State)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2312)automata.Automaton.addTransition(automata.Transition)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2315)automata.Automaton.addNote(automata.Note)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2316)automata.State.getPoint()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2317)automata.State.getLabel()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2319)automata.State.setName(java.lang.String)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2320)java.util.HashMap.put(java.lang.Object,java.lang.Object)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2323)java.util.HashMap.get(java.lang.Object)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2324)automata.mealy.MooreMachine.getOutput(automata.State)	5	X	X	X	X		X	79
(25)automata.Automaton.clone()->(2325)automata.mealy.MooreMachine.setOutput(automata.State,java.lang.String)	5	X	X	X	X		X	79
(28)automata.Automaton.getTransitionsFromStateToState(automata.State,automata.State)->(2206)java.util.ArrayList.<init>()	6	X	X	X	X	X	X	95
(28)automata.Automaton.getTransitionsFromStateToState(automata.State,automata.State)->(2209)java.util.ArrayList.add(java.lang.Object)	6	X	X	X	X	X	X	95
(28)automata.Automaton.getTransitionsFromStateToState(automata.State,automata.State)->(2210)java.util.ArrayList.toArray(java.lang.Object[])	6	X	X	X	X	X	X	95
(28)automata.Automaton.getTransitionsFromStateToState(automata.State,automata.State)->(2222)automata.Automaton.getTransitionsFromState(automata.State)	6	X	X	X	X	X	X	95
(28)automata.Automaton.getTransitionsFromStateToState(automata.State,automata.State)->(2227)automata.Transition.getToState()	5	X	X	X	X		X	79
(29)automata.Automaton.makeListFromArray(java.lang.Object[])->(2206)java.util.ArrayList.<init>()	6	X	X	X	X	X	X	95
(30)automata.Automaton.getStates()->(31)java.util.Arrays.sort(java.lang.Object[],java.util.Comparator)	6	X	X	X	X	X	X	95
(32)automata.Automaton.toString()->(30)automata.Automaton.getStates()	6	X	X	X	X	X	X	95
(32)automata.Automaton.toString()->(2222)automata.Automaton.getTransitionsFromState(automata.State)	6	X	X	X	X	X	X	95
(32)automata.Automaton.toString()->(2467)automata.Automaton.isFinalState(automata.State)	6	X	X	X	X	X	X	95
(32)automata.Automaton.toString()->(2471)java.lang.StringBuffer.<init>()	6	X	X	X	X	X	X	95
(32)automata.Automaton.toString()->(2472)java.lang.Object.toString()	6	X	X	X	X	X	X	95
(32)automata.Automaton.toString()->(2473)java.lang.StringBuffer.append(java.lang.String)	6	X	X	X	X	X	X	95
(32)automata.Automaton.toString()->(2474)java.lang.StringBuffer.append(char)	6	X	X	X	X	X	X	95
(32)automata.Automaton.toString()->(2475)java.lang.StringBuffer.toString()	6	X	X	X	X	X	X	95
(34)automata.Automaton.clear()->(1917)java.util.HashSet.<init>()	6	X	X	X	X	X	X	95
(34)automata.Automaton.clear()->(2009)java.util.HashSet.iterator()	3	X			X	X		25
(34)automata.Automaton.clear()->(2219)java.util.ArrayList.get(int)	6	X	X	X	X	X	X	95
(34)automata.Automaton.clear()->(2221)java.util.ArrayList.size()	6	X	X	X	X	X	X	95
(34)automata.Automaton.clear()->(2262)java.util.HashSet.<init>(java.util.Collection)	6	X	X	X	X	X	X	95
(34)automata.Automaton.clear()->(2301)java.util.HashMap.<init>()	6	X	X	X	X	X	X	95
(34)automata.Automaton.clear()->(2412)automata.Automaton.removeTransition(automata.Transition)	6	X	X	X	X	X	X	95
(34)automata.Automaton.clear()->(2457)automata.Automaton.removeState(automata.State)	6	X	X	X	X	X	X	95
(34)automata.Automaton.clear()->(2463)automata.Automaton.deleteNote(automata.Note)	6	X	X	X	X	X	X	95
(35)automata.StatePlacer.getPointForState(automata.Automaton)->(37)java.lang.Math.random()	6	X	X	X	X	X	X	95
(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)->(19)java.util.Arrays.asList(java.lang.Object[])	6	X	X	X	X	X	X	95
(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)->(30)automata.Automaton.getStates()	6	X	X	X	X	X	X	95
(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)->(39)java.util.Collections.sort(java.util.List,java.util.Comparator)	6	X	X	X	X	X	X	95
(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)->(2285)automata.Automaton.getInitialState()	6	X	X	X	X	X	X	95
(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)->(2301)java.util.HashMap.<init>()	6	X	X	X	X	X	X	95
(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)->(2320)java.util.HashMap.put(java.lang.Object,java.lang.Object)	6	X	X	X	X	X	X	95
(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)->(2407)java.util.LinkedList.add(java.lang.Object)	6	X	X	X	X	X	X	95
(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)->(2448)java.util.LinkedList.remove(java.lang.Object)	6	X	X	X	X	X	X	95
(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)->(2454)java.util.LinkedList.<init>()	6	X	X	X	X	X	X	95
(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)->(2523)java.util.ArrayList.<init>(java.util.Collection)	6	X	X	X	X	X	X	95
(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)->(2525)java.util.LinkedList.removeFirst()	6	X	X	X	X	X	X	95
(41)automata.fsa.FSAToRegularGrammarConverter.getLambdaProductionForFinalState(automata.Automaton,automata.State)->(2307)java.io.PrintStream.println(java.lang.String)	6	X	X	X	X	X	X	95
