     	Soot 	OSA	SPOON	JCG	WALA	JDT
Soot 	16119	50.0465	50.9212	46.6530	15.3793	49.6432	
OSA	87.4756	9222	96.4324	75.9596	21.8607	92.5721	
SPOON	85.6070	92.7513	9588	74.4889	21.2348	89.9457	
JCG	73.6677	68.6226	69.9647	10208	18.9459	67.9565	
WALA	98.2171	79.8732	80.6656	76.6244	2524	77.5752	
JDT	88.6255	94.5508	95.5144	76.8302	21.6856	9029	
