     	Soot 	OSA	SPOON	JCG	WALA	JDT
Soot 	2924	84.7469	85.0205	72.5034	73.6320	84.2339	
OSA	99.5980	2488	100.0000	84.8472	78.0546	99.3971	
SPOON	98.7291	98.8085	2518	84.1540	77.4424	98.2128	
JCG	100.0000	99.5754	99.9528	2120	79.7169	98.8679	
WALA	100.0000	90.1997	90.5712	78.4951	2153	89.5030	
JDT	99.1945	99.5972	99.5972	84.4140	77.6077	2483	
