1914	5	"(43)<regular.RegularExpression: void <init>()>""(43)<regular.RegularExpression: void <init>()>"	11054regular.RegularExpression.<init>()V:42:2:44:3	x	(43)regular.RegularExpression:<init>()regular.RegularExpression.<init>()	847regular.RegularExpression.<init>()V:43	2763regular.RegularExpression.<init>():void:RegularExpression.java:39:1:44:2	91
2514	6	"(43)<automata.vdg.VariableDependencyGraph: void <init>()>""(43)<automata.vdg.VariableDependencyGraph: void <init>()>"	4617automata.vdg.VariableDependencyGraph.<init>()V:42:2:44:3	739automata.vdg.VariableDependencyGraph.VariableDependencyGraph():42:9:44:2	(43)automata.vdg.VariableDependencyGraph:<init>()automata.vdg.VariableDependencyGraph.<init>()	695automata.vdg.VariableDependencyGraph.<init>()V:43	1049automata.vdg.VariableDependencyGraph.<init>():void:VariableDependencyGraph.java:39:1:44:2	95
2515	6	"(48)<automata.vdg.VDGTransition: void <init>(automata.State,automata.State)>""(48)<automata.vdg.VDGTransition: void <init>(automata.State,automata.State)>"	4627automata.vdg.VDGTransition.<init>(Lautomata/State;Lautomata/State;)V:47:2:49:3	736automata.vdg.VDGTransition.VDGTransition(automata.State,automata.State):47:9:49:2	(48)automata.vdg.VDGTransition:<init>(automata.State,automata.State)automata.vdg.VDGTransition.<init>(automata.State,automata.State)	229automata.vdg.VDGTransition.<init>(Lautomata/State;Lautomata/State;)V:48	1046automata.vdg.VDGTransition.<init>(automata.State;automata.State):void:VDGTransition.java:39:1:49:2	95
2517	6	"(61)<automata.vdg.VDGTransition: automata.Transition copy(automata.State,automata.State)>""(61)<automata.vdg.VDGTransition: automata.Transition copy(automata.State,automata.State)>"	4631automata.vdg.VDGTransition.copy(Lautomata/State;Lautomata/State;)Lautomata/Transition;:60:2:62:3	737automata.vdg.VDGTransition.copy(automata.State,automata.State):60:20:62:2	(61)automata.vdg.VDGTransition:copy(automata.State,automata.State)automata.vdg.VDGTransition.copy(automata.State,automata.State)	558automata.vdg.VDGTransition.copy(Lautomata/State;Lautomata/State;)Lautomata/Transition;:61	1047automata.vdg.VDGTransition.copy(automata.State;automata.State):automata.Transition:VDGTransition.java:51:1:62:2	95
2518	6	"(72)<automata.vdg.VDGTransition: java.lang.String toString()>""(72)<automata.vdg.VDGTransition: java.lang.String toString()>"	4636automata.vdg.VDGTransition.toString()Ljava/lang/String;:71:2:73:3	738automata.vdg.VDGTransition.toString():71:16:73:2	(72)automata.vdg.VDGTransition:toString()automata.vdg.VDGTransition.toString()	59automata.vdg.VDGTransition.toString()Ljava/lang/String;:72	1048automata.vdg.VDGTransition.toString():java.lang.String:VDGTransition.java:64:1:73:2	95
2285	6	"(521)<automata.Automaton: automata.State getInitialState()>""(521)<automata.Automaton: automata.State getInitialState()>"	266automata.Automaton.getInitialState()Lautomata/State;:520:2:522:3	63automata.Automaton.getInitialState():-1:-1:-1:-1	automata.Automaton:getInitialState()automata.Automaton.getInitialState()	722automata.Automaton.getInitialState()Lautomata/State;:521	203automata.Automaton.getInitialState():automata.State:Automaton.java:515:1:522:2	95
2407	6	"<java.util.LinkedList: boolean add(java.lang.Object)>""<java.util.LinkedList: boolean add(java.lang.Object)>"	1415java.util.LinkedList.add(Ljava/lang/Object;)Z:-1:-1:-1:-1	136java.util.LinkedList.add(java.lang.Object):-1:-1:-1:-1	java.util.LinkedList:add(java.lang.Object)java.util.LinkedList.add(java.lang.Object)	681java.util.LinkedList.add(Ljava/lang/Object;)Z:338	2956java.util.LinkedList<automata.Transition>.add(gui.editor.Tool):boolean:ConvertToAutomatonPane.java:-1:-1:-1:-1	95
8223	1	x	x	x	automata.fsa.FSATransition:getToState()automata.fsa.FSATransition.getToState()	x	x	8
8224	1	x	x	x	automata.fsa.FSATransition:getFromState()automata.fsa.FSATransition.getFromState()	x	x	8
2527	6	"(77)<automata.fsa.FSATransition: java.lang.String getLabel()>""(77)<automata.fsa.FSATransition: java.lang.String getLabel()>"	1054automata.fsa.FSATransition.getLabel()Ljava/lang/String;:76:2:78:3	13automata.fsa.FSATransition.getLabel():-1:-1:-1:-1	automata.fsa.FSATransition:getLabel()automata.fsa.FSATransition.getLabel()	133automata.fsa.FSATransition.getLabel()Ljava/lang/String;:77	375automata.fsa.FSATransition.getLabel():java.lang.String:FSATransition.java:73:1:78:2	95
2530	6	"(45)<grammar.reg.RegularGrammar: void <init>()>""(45)<grammar.reg.RegularGrammar: void <init>()>"	1464grammar.reg.RegularGrammar.<init>()V:44:2:47:3	154grammar.reg.RegularGrammar.RegularGrammar():44:9:47:2	grammar.reg.RegularGrammar:<init>()grammar.reg.RegularGrammar.<init>()	1523grammar.reg.RegularGrammar.<init>()V:45	540grammar.reg.RegularGrammar.<init>():void:RegularGrammar.java:39:1:47:2	95
