     	Soot 	OSA	SPOON	JCG	WALA	JDT
Soot 	61573	19.5231	19.9405	20.1581	8.3997	19.1886	
OSA	82.3299	14601	97.6029	78.5220	24.2654	92.8772	
SPOON	81.3328	94.4024	15096	77.6099	23.8937	90.5140	
JCG	75.3795	69.6283	71.1526	16466	25.2945	68.3468	
WALA	96.6909	66.2366	67.4331	77.8650	5349	63.0398	
JDT	83.8716	96.2660	96.9972	79.8892	23.9369	14087	
